State,forward,right,left,None
tl:green_o:forward_r:forward_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:forward_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:forward_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:forward_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:forward_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:forward_l:None_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:right_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:right_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:right_l:None_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:left_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:left_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:left_l:None_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:forward_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:forward_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:forward_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:right_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:right_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:right_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:left_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:left_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:left_dd:left,0,0,0,0
tl:green_o:forward_r:None_l:None_dd:forward,0,0,0,0
tl:green_o:forward_r:None_l:None_dd:right,0,0,0,0
tl:green_o:forward_r:None_l:None_dd:left,0,0,0,0.106332
tl:green_o:right_r:forward_l:forward_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:forward_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:forward_dd:left,0,0,0,0
tl:green_o:right_r:forward_l:right_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:right_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:right_dd:left,0,0,0,0
tl:green_o:right_r:forward_l:left_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:left_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:left_dd:left,0,0,0,0
tl:green_o:right_r:forward_l:None_dd:forward,0,0,0,0
tl:green_o:right_r:forward_l:None_dd:right,0,0,0,0
tl:green_o:right_r:forward_l:None_dd:left,0,0,0,0
tl:green_o:right_r:right_l:forward_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:forward_dd:right,0,0,0,0
tl:green_o:right_r:right_l:forward_dd:left,0,0,0,0
tl:green_o:right_r:right_l:right_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:right_dd:right,0,0,0,0
tl:green_o:right_r:right_l:right_dd:left,0,0,0,0
tl:green_o:right_r:right_l:left_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:left_dd:right,0,0,0,0
tl:green_o:right_r:right_l:left_dd:left,0,0,0,0
tl:green_o:right_r:right_l:None_dd:forward,0,0,0,0
tl:green_o:right_r:right_l:None_dd:right,0,0,0,0
tl:green_o:right_r:right_l:None_dd:left,0,0,0,0
tl:green_o:right_r:left_l:forward_dd:forward,0,0,0,0
tl:green_o:right_r:left_l:forward_dd:right,0,0,0,0
tl:green_o:right_r:left_l:forward_dd:left,0,0,0,0
tl:green_o:right_r:left_l:right_dd:forward,0,0,0,0
tl:green_o:right_r:left_l:right_dd:right,0,0,0,0
tl:green_o:right_r:left_l:right_dd:left,0,0,0,0
tl:green_o:right_r:left_l:left_dd:forward,0,0,0,0
tl:green_o:right_r:left_l:left_dd:right,0,0,0,0
tl:green_o:right_r:left_l:left_dd:left,0,0,0,0
tl:green_o:right_r:left_l:None_dd:forward,0,0,0,0
tl:green_o:right_r:left_l:None_dd:right,0,0,0,0
tl:green_o:right_r:left_l:None_dd:left,0,0,0,0
tl:green_o:right_r:None_l:forward_dd:forward,0,0,0,0
tl:green_o:right_r:None_l:forward_dd:right,0,0,0,0
tl:green_o:right_r:None_l:forward_dd:left,0,0,0,0
tl:green_o:right_r:None_l:right_dd:forward,0,0,0,0
tl:green_o:right_r:None_l:right_dd:right,0,0,0,0
tl:green_o:right_r:None_l:right_dd:left,0,0,0,0
tl:green_o:right_r:None_l:left_dd:forward,0,0,0,0
tl:green_o:right_r:None_l:left_dd:right,0,0,0,0
tl:green_o:right_r:None_l:left_dd:left,0,0,0,0
tl:green_o:right_r:None_l:None_dd:forward,0,0,0,0
tl:green_o:right_r:None_l:None_dd:right,0,0,0,0
tl:green_o:right_r:None_l:None_dd:left,0,0,0,0
tl:green_o:left_r:forward_l:forward_dd:forward,0,0,0,0
tl:green_o:left_r:forward_l:forward_dd:right,0,0,0,0
tl:green_o:left_r:forward_l:forward_dd:left,0,0,0,0
tl:green_o:left_r:forward_l:right_dd:forward,0,0,0,0
tl:green_o:left_r:forward_l:right_dd:right,0,0,0,0
tl:green_o:left_r:forward_l:right_dd:left,0,0,0,0
tl:green_o:left_r:forward_l:left_dd:forward,0,0,0,0
tl:green_o:left_r:forward_l:left_dd:right,0,0,0,0
tl:green_o:left_r:forward_l:left_dd:left,0,0,0,0
tl:green_o:left_r:forward_l:None_dd:forward,0,0,0,0
tl:green_o:left_r:forward_l:None_dd:right,0,0,0,0
tl:green_o:left_r:forward_l:None_dd:left,0,0,0,0
tl:green_o:left_r:right_l:forward_dd:forward,0,0,0,0
tl:green_o:left_r:right_l:forward_dd:right,0,0,0,0
tl:green_o:left_r:right_l:forward_dd:left,0,0,0,0
tl:green_o:left_r:right_l:right_dd:forward,0,0,0,0
tl:green_o:left_r:right_l:right_dd:right,0,0,0,0
tl:green_o:left_r:right_l:right_dd:left,0,0,0,0
tl:green_o:left_r:right_l:left_dd:forward,0,0,0,0
tl:green_o:left_r:right_l:left_dd:right,0,0,0,0
tl:green_o:left_r:right_l:left_dd:left,0,0,0,0
tl:green_o:left_r:right_l:None_dd:forward,0,0,0,0
tl:green_o:left_r:right_l:None_dd:right,0,0,0,0
tl:green_o:left_r:right_l:None_dd:left,0,0,0,0
tl:green_o:left_r:left_l:forward_dd:forward,0,0,0,0
tl:green_o:left_r:left_l:forward_dd:right,0,0,0,0
tl:green_o:left_r:left_l:forward_dd:left,0,0,0,0
tl:green_o:left_r:left_l:right_dd:forward,0,0,0,0
tl:green_o:left_r:left_l:right_dd:right,0,0,0,0
tl:green_o:left_r:left_l:right_dd:left,0,0,0,0
tl:green_o:left_r:left_l:left_dd:forward,0,0,0,0
tl:green_o:left_r:left_l:left_dd:right,0,0,0,0
tl:green_o:left_r:left_l:left_dd:left,0,0,0,0
tl:green_o:left_r:left_l:None_dd:forward,0,0,0,0
tl:green_o:left_r:left_l:None_dd:right,0,0,0,0
tl:green_o:left_r:left_l:None_dd:left,0,0,0,0
tl:green_o:left_r:None_l:forward_dd:forward,0,0,0,0
tl:green_o:left_r:None_l:forward_dd:right,0,0,0,0
tl:green_o:left_r:None_l:forward_dd:left,0,0,0,0
tl:green_o:left_r:None_l:right_dd:forward,0,0,0,0
tl:green_o:left_r:None_l:right_dd:right,0,0,0,0
tl:green_o:left_r:None_l:right_dd:left,0,0,0,0
tl:green_o:left_r:None_l:left_dd:forward,0,0,0,0
tl:green_o:left_r:None_l:left_dd:right,0,0,0,0
tl:green_o:left_r:None_l:left_dd:left,0,0,0,0
tl:green_o:left_r:None_l:None_dd:forward,1.610765,-0.24818,-0.14020,0.118287
tl:green_o:left_r:None_l:None_dd:right,0,0,-0.24184,0
tl:green_o:left_r:None_l:None_dd:left,0,-0.14102,0,0
tl:green_o:None_r:forward_l:forward_dd:forward,0,0,0,0
tl:green_o:None_r:forward_l:forward_dd:right,0,0,0,0
tl:green_o:None_r:forward_l:forward_dd:left,0,0,0,0
tl:green_o:None_r:forward_l:right_dd:forward,0,0,0,0
tl:green_o:None_r:forward_l:right_dd:right,0,0,0,0
tl:green_o:None_r:forward_l:right_dd:left,0,0,0,0
tl:green_o:None_r:forward_l:left_dd:forward,0,0,0,0
tl:green_o:None_r:forward_l:left_dd:right,0,0,0,0
tl:green_o:None_r:forward_l:left_dd:left,0,0,0,0
tl:green_o:None_r:forward_l:None_dd:forward,0,0,0,0.007481
tl:green_o:None_r:forward_l:None_dd:right,0,1.104898,0,0.0
tl:green_o:None_r:forward_l:None_dd:left,0,-0.2,0,0
tl:green_o:None_r:right_l:forward_dd:forward,0,0,0,0
tl:green_o:None_r:right_l:forward_dd:right,0,0,0,0
tl:green_o:None_r:right_l:forward_dd:left,0,0,0,0
tl:green_o:None_r:right_l:right_dd:forward,0,0,0,0
tl:green_o:None_r:right_l:right_dd:right,0,0,0,0
tl:green_o:None_r:right_l:right_dd:left,0,0,0,0
tl:green_o:None_r:right_l:left_dd:forward,0,0,0,0
tl:green_o:None_r:right_l:left_dd:right,0,0,0,0
tl:green_o:None_r:right_l:left_dd:left,0,0,0,0
tl:green_o:None_r:right_l:None_dd:forward,1.662041,-0.24342,-0.13914,0
tl:green_o:None_r:right_l:None_dd:right,0,1.104910,0,0
tl:green_o:None_r:right_l:None_dd:left,0,0,1.006987,0
tl:green_o:None_r:left_l:forward_dd:forward,0,0,0,0
tl:green_o:None_r:left_l:forward_dd:right,0,0,0,0
tl:green_o:None_r:left_l:forward_dd:left,0,0,0,0
tl:green_o:None_r:left_l:right_dd:forward,0,0,0,0
tl:green_o:None_r:left_l:right_dd:right,0,0,0,0
tl:green_o:None_r:left_l:right_dd:left,0,0,0,0
tl:green_o:None_r:left_l:left_dd:forward,0,0,0,0
tl:green_o:None_r:left_l:left_dd:right,0,0,0,0
tl:green_o:None_r:left_l:left_dd:left,0,0,0,0
tl:green_o:None_r:left_l:None_dd:forward,1.101451,-0.14020,-0.14258,0.0
tl:green_o:None_r:left_l:None_dd:right,0,0,0,0
tl:green_o:None_r:left_l:None_dd:left,0,0,0,0
tl:green_o:None_r:None_l:forward_dd:forward,1.637718,-0.26818,-0.14239,0.054375
tl:green_o:None_r:None_l:forward_dd:right,0,0,0,0
tl:green_o:None_r:None_l:forward_dd:left,-0.24482,-0.14190,0,0.0
tl:green_o:None_r:None_l:right_dd:forward,1.0,0,0,0
tl:green_o:None_r:None_l:right_dd:right,0,0,0,0
tl:green_o:None_r:None_l:right_dd:left,0,0,0,0
tl:green_o:None_r:None_l:left_dd:forward,1.104302,-0.14360,0,0
tl:green_o:None_r:None_l:left_dd:right,0,0,0,0
tl:green_o:None_r:None_l:left_dd:left,-0.14163,0,1.006729,0.0
tl:green_o:None_r:None_l:None_dd:forward,2.064443,-0.36893,-0.29685,0.180121
tl:green_o:None_r:None_l:None_dd:right,-0.33930,2.200874,-0.27826,0.136274
tl:green_o:None_r:None_l:None_dd:left,-0.33630,-0.29662,2.032604,0.157624
tl:red_o:forward_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:forward_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:forward_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:forward_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:forward_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:forward_l:None_dd:forward,0,0,0,0
tl:red_o:forward_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:forward_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:forward_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:forward_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:forward_r:right_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:right_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:right_l:None_dd:forward,0,0,0,0
tl:red_o:forward_r:right_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:right_l:None_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:forward_r:left_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:left_l:None_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:forward_dd:forward,0,0,0,0
tl:red_o:forward_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:right_dd:forward,-0.5,0,0,0
tl:red_o:forward_r:None_l:right_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:right_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:left_dd:forward,0,0,0,0
tl:red_o:forward_r:None_l:left_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:left_dd:left,0,0,0,0
tl:red_o:forward_r:None_l:None_dd:forward,-0.59076,-0.22159,-0.64587,0
tl:red_o:forward_r:None_l:None_dd:right,0,0,0,0
tl:red_o:forward_r:None_l:None_dd:left,-0.5,-0.14000,0,0.0
tl:red_o:right_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:right_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:right_r:forward_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:right_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:right_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:right_dd:right,0,0,0,0
tl:red_o:right_r:right_l:right_dd:left,0,0,0,0
tl:red_o:right_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:left_dd:right,0,0,0,0
tl:red_o:right_r:right_l:left_dd:left,0,0,0,0
tl:red_o:right_r:right_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:right_l:None_dd:right,0,0,0,0
tl:red_o:right_r:right_l:None_dd:left,0,0,0,0
tl:red_o:right_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:right_dd:right,0,0,0,0
tl:red_o:right_r:left_l:right_dd:left,0,0,0,0
tl:red_o:right_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:left_dd:right,0,0,0,0
tl:red_o:right_r:left_l:left_dd:left,0,0,0,0
tl:red_o:right_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:left_l:None_dd:right,0,0,0,0
tl:red_o:right_r:left_l:None_dd:left,0,0,0,0
tl:red_o:right_r:None_l:forward_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:right_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:right_r:None_l:right_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:right_dd:right,0,0,0,0
tl:red_o:right_r:None_l:right_dd:left,0,0,0,0
tl:red_o:right_r:None_l:left_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:left_dd:right,0,0,0,0
tl:red_o:right_r:None_l:left_dd:left,0,0,0,0
tl:red_o:right_r:None_l:None_dd:forward,0,0,0,0
tl:red_o:right_r:None_l:None_dd:right,0,0,0,0.109954
tl:red_o:right_r:None_l:None_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:left_r:forward_l:None_dd:forward,0,0,0,0
tl:red_o:left_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:left_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:left_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:right_dd:right,0,0,0,0
tl:red_o:left_r:right_l:right_dd:left,0,0,0,0
tl:red_o:left_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:left_dd:right,0,0,0,0
tl:red_o:left_r:right_l:left_dd:left,0,0,0,0
tl:red_o:left_r:right_l:None_dd:forward,0,0,0,0
tl:red_o:left_r:right_l:None_dd:right,0,0,0,0
tl:red_o:left_r:right_l:None_dd:left,0,0,0,0
tl:red_o:left_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:right_dd:right,0,0,0,0
tl:red_o:left_r:left_l:right_dd:left,0,0,0,0
tl:red_o:left_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:left_dd:right,0,0,0,0
tl:red_o:left_r:left_l:left_dd:left,0,0,0,0
tl:red_o:left_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:left_r:left_l:None_dd:right,0,0,0,0
tl:red_o:left_r:left_l:None_dd:left,0,0,0,0
tl:red_o:left_r:None_l:forward_dd:forward,0,0,0,0
tl:red_o:left_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:left_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:left_r:None_l:right_dd:forward,0,0,0,0
tl:red_o:left_r:None_l:right_dd:right,0,0,0,0
tl:red_o:left_r:None_l:right_dd:left,0,0,0,0
tl:red_o:left_r:None_l:left_dd:forward,0,0,0,0
tl:red_o:left_r:None_l:left_dd:right,0,0,0,0
tl:red_o:left_r:None_l:left_dd:left,0,0,0,0
tl:red_o:left_r:None_l:None_dd:forward,-0.66946,-0.24408,-0.75,0
tl:red_o:left_r:None_l:None_dd:right,-0.5,0,-0.5,0.0
tl:red_o:left_r:None_l:None_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:forward_dd:forward,0,0,0,0
tl:red_o:None_r:forward_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:right_dd:forward,0,0,0,0
tl:red_o:None_r:forward_l:right_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:right_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:left_dd:forward,0,0,0,0
tl:red_o:None_r:forward_l:left_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:left_dd:left,0,0,0,0
tl:red_o:None_r:forward_l:None_dd:forward,0,0,-0.49962,0
tl:red_o:None_r:forward_l:None_dd:right,0,0,0,0
tl:red_o:None_r:forward_l:None_dd:left,0,0,0,0
tl:red_o:None_r:right_l:forward_dd:forward,0,0,0,0
tl:red_o:None_r:right_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:right_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:right_l:right_dd:forward,0,0,0,0
tl:red_o:None_r:right_l:right_dd:right,0,0,0,0
tl:red_o:None_r:right_l:right_dd:left,0,0,0,0
tl:red_o:None_r:right_l:left_dd:forward,0,0,0,0
tl:red_o:None_r:right_l:left_dd:right,0,0,0,0
tl:red_o:None_r:right_l:left_dd:left,0,0,0,0
tl:red_o:None_r:right_l:None_dd:forward,0,-0.14455,0,0
tl:red_o:None_r:right_l:None_dd:right,0,0,0,0
tl:red_o:None_r:right_l:None_dd:left,0,0,0,0
tl:red_o:None_r:left_l:forward_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:left_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:left_l:right_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:right_dd:right,0,0,0,0
tl:red_o:None_r:left_l:right_dd:left,0,0,0,0
tl:red_o:None_r:left_l:left_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:left_dd:right,0,0,0,0
tl:red_o:None_r:left_l:left_dd:left,0,0,0,0
tl:red_o:None_r:left_l:None_dd:forward,0,0,0,0
tl:red_o:None_r:left_l:None_dd:right,0,0,0,0
tl:red_o:None_r:left_l:None_dd:left,-0.5,0,0,0
tl:red_o:None_r:None_l:forward_dd:forward,-0.49837,0,0,0
tl:red_o:None_r:None_l:forward_dd:right,0,0,0,0
tl:red_o:None_r:None_l:forward_dd:left,0,0,0,0
tl:red_o:None_r:None_l:right_dd:forward,0,0,-0.49939,0
tl:red_o:None_r:None_l:right_dd:right,0,0,0,0
tl:red_o:None_r:None_l:right_dd:left,0,0,0,0
tl:red_o:None_r:None_l:left_dd:forward,0,0,0,0.002735
tl:red_o:None_r:None_l:left_dd:right,0,0,0,0
tl:red_o:None_r:None_l:left_dd:left,0,0,0,0
tl:red_o:None_r:None_l:None_dd:forward,-0.87229,-0.43206,-0.87346,0.064666
tl:red_o:None_r:None_l:None_dd:right,-0.75706,2.150792,-0.85829,0.161310
tl:red_o:None_r:None_l:None_dd:left,-0.75,-0.28937,-0.75,0.117437
